t,v1,h1,v2,h2
-4,nan,nan,nan,nan
-4,nan,nan,nan,nan
-4,nan,nan,nan,nan
-4,nan,nan,nan,nan
-4,nan,nan,nan,nan
-4,nan,nan,nan,nan
-4,nan,nan,nan,nan
-4,nan,nan,nan,nan
-3,nan,nan,nan,nan
-3,nan,nan,nan,nan
-3,nan,nan,nan,nan
-3,nan,nan,nan,nan
-3,nan,nan,nan,nan
-3,nan,nan,nan,nan
-3,nan,nan,nan,nan
-3,nan,nan,nan,nan
-3,nan,nan,nan,nan
-3,nan,nan,nan,nan
-2,nan,nan,nan,nan
-2,nan,nan,nan,nan
-2,nan,nan,nan,nan
-2,nan,nan,nan,nan
-2,nan,nan,nan,nan
-2,nan,nan,nan,nan
-2,nan,nan,nan,nan
-2,nan,nan,nan,nan
-2,nan,nan,nan,nan
-2,nan,nan,nan,nan
-1,nan,nan,nan,nan
-1,nan,nan,nan,nan
-1,nan,nan,nan,nan
-1,nan,nan,nan,nan
-1,nan,nan,nan,nan
-1,nan,nan,nan,nan
-1,nan,nan,nan,nan
-1,nan,nan,nan,nan
-1,nan,nan,nan,nan
-1,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
1,nan,nan,nan,nan
1,nan,nan,nan,nan
1,nan,nan,nan,nan
1,nan,nan,nan,nan
1,nan,nan,nan,nan
1,nan,nan,nan,nan
1,nan,nan,nan,nan
1,nan,nan,nan,nan
1,nan,nan,nan,nan
1,nan,nan,nan,nan
2,nan,nan,nan,nan
2,nan,nan,nan,nan
2,nan,nan,nan,nan
2,nan,nan,nan,nan
2,nan,nan,nan,nan
2,nan,nan,nan,nan
2,nan,nan,nan,nan
2,nan,nan,nan,nan
2,nan,nan,nan,nan
2,nan,nan,nan,nan
2,nan,nan,nan,nan
3,nan,nan,nan,nan
3,nan,nan,nan,nan
3,nan,nan,nan,nan
3,nan,nan,nan,nan
3,nan,nan,nan,nan
3,nan,nan,nan,nan
3,nan,nan,nan,nan
3,nan,nan,nan,nan
3,nan,nan,nan,nan
3,nan,nan,nan,nan
4,nan,nan,nan,nan
4,nan,nan,nan,nan
4,nan,nan,nan,nan
4,nan,nan,nan,nan
4,nan,nan,nan,nan
4,nan,nan,nan,nan
4,nan,nan,nan,nan
4,nan,nan,nan,nan
4,nan,nan,nan,nan
4,nan,nan,nan,nan
5,nan,nan,nan,nan
5,nan,nan,nan,nan
5,nan,nan,nan,nan
5,nan,nan,nan,nan
5,nan,nan,nan,nan
5,nan,nan,nan,nan
5,nan,nan,nan,nan
5,nan,nan,nan,nan
5,nan,nan,nan,nan
5,nan,nan,nan,nan
6,nan,nan,nan,nan
6,nan,nan,nan,nan
6,nan,nan,nan,nan
6,nan,nan,nan,nan
6,nan,nan,nan,nan
6,nan,nan,nan,nan
6,nan,nan,nan,nan
6,nan,nan,nan,nan
6,nan,nan,nan,nan
6,nan,nan,nan,nan
7,nan,nan,nan,nan
7,nan,nan,nan,nan
7,nan,nan,nan,nan
7,nan,nan,nan,nan
7,nan,nan,nan,nan
7,nan,nan,nan,nan
7,nan,nan,nan,nan
7,nan,nan,nan,nan
7,nan,nan,nan,nan
7,nan,nan,nan,nan
8,nan,nan,nan,nan
8,nan,nan,nan,nan
8,nan,nan,nan,nan
8,nan,nan,nan,nan
8,nan,nan,nan,nan
8,nan,nan,nan,nan
8,nan,nan,nan,nan
8,nan,nan,nan,nan
8,nan,nan,nan,nan
8,nan,nan,nan,nan
9,nan,nan,nan,nan
9,nan,nan,nan,nan
9,nan,nan,nan,nan
9,nan,nan,nan,nan
9,nan,nan,nan,nan
9,nan,nan,nan,nan
9,nan,nan,nan,nan
9,nan,nan,nan,nan
9,nan,nan,nan,nan
9,nan,nan,nan,nan
10,nan,nan,nan,nan
10,nan,nan,nan,nan
10,nan,nan,nan,nan
10,nan,nan,nan,nan
10,nan,nan,nan,nan
10,nan,nan,nan,nan
10,nan,nan,nan,nan
10,nan,nan,nan,nan
10,nan,nan,nan,nan
10,nan,nan,nan,nan
11,nan,nan,nan,nan
11,nan,nan,nan,nan
11,nan,nan,nan,nan
11,nan,nan,nan,nan
11,nan,nan,nan,nan
11,nan,nan,nan,nan
11,nan,nan,nan,nan
11,nan,nan,nan,nan
11,nan,nan,nan,nan
11,nan,nan,nan,nan
12,nan,nan,nan,nan
12,nan,nan,nan,nan
12,nan,nan,nan,nan
12,nan,nan,nan,nan
12,nan,nan,nan,nan
12,nan,nan,nan,nan
12,nan,nan,nan,nan
12,nan,nan,nan,nan
12,nan,nan,nan,nan
12,nan,nan,nan,nan
13,nan,nan,nan,nan
13,nan,nan,nan,nan
13,nan,nan,nan,nan
13,nan,nan,nan,nan
13,nan,nan,nan,nan
13,nan,nan,nan,nan
13,nan,nan,nan,nan
13,nan,nan,nan,nan
13,nan,nan,nan,nan
13,nan,nan,nan,nan
14,nan,nan,nan,nan
14,nan,nan,nan,nan
14,nan,nan,nan,nan
14,112,nan,nan,nan
14,113,0,nan,nan
14,114,0,nan,nan
14,115,0,nan,nan
14,116,0,nan,nan
14,117,0,nan,nan
14,118,0,nan,nan
15,119,0,nan,nan
15,120,0,nan,nan
15,122,0,nan,nan
15,123,0,nan,nan
15,124,0,nan,nan
15,125,0,nan,nan
15,126,0,nan,nan
15,127,0,nan,nan
15,128,0,nan,nan
15,129,0,nan,nan
16,130,0,nan,nan
16,131,0,nan,nan
16,132,0,nan,nan
16,134,0,nan,nan
16,135,0,nan,nan
16,136,0,nan,nan
16,137,0,nan,nan
16,138,0,nan,nan
16,139,0,nan,nan
16,140,0,nan,nan
17,141,0,nan,nan
17,142,0,nan,nan
17,143,0,nan,nan
17,145,0,nan,nan
17,146,0,nan,nan
17,147,0,nan,nan
17,148,0,nan,nan
17,149,0,nan,nan
17,150,0,nan,nan
17,151,0,nan,nan
18,152,0,nan,nan
18,154,0,nan,nan
18,155,0,nan,nan
18,156,0,nan,nan
18,157,0,nan,nan
18,158,0,nan,nan
18,159,0,nan,nan
18,161,0,nan,nan
18,162,0,nan,nan
18,163,0,nan,nan
19,164,0,nan,nan
19,165,0,nan,nan
19,166,0,nan,nan
19,168,0,nan,nan
19,169,0,nan,nan
19,170,0,nan,nan
19,171,0,nan,nan
19,172,0,nan,nan
19,174,0,nan,nan
19,175,0,nan,nan
20,176,0,nan,nan
20,177,0,nan,nan
20,179,0,nan,nan
20,180,0,nan,nan
20,181,0,nan,nan
20,182,0,nan,nan
20,184,0,nan,nan
20,185,0,nan,nan
20,186,0,nan,nan
20,187,0,nan,nan
21,189,0,nan,nan
21,190,0,nan,nan
21,191,0,nan,nan
21,192,0,nan,nan
21,194,0,nan,nan
21,195,0,nan,nan
21,196,0,nan,nan
21,197,0,nan,nan
21,199,0,nan,nan
21,200,0,nan,nan
22,201,0,nan,nan
22,203,0,nan,nan
22,204,0,nan,nan
22,205,0,nan,nan
22,207,0,nan,nan
